,Study,PayScheme,Freq1Deck1,Freq1Deck2,Freq1Deck3,Freq1Deck4,FreqGoodDecks,AhaMoment,CumOutTrial95,NetOut
298,SteingroverInPrep,2,-0.3899285334145362,0.07116960130442818,0.09608574503197723,0.05660724341823715,0.1058657873489756,-1.008598531485921,-0.6043205041867221,-0.5542817473048354
299,SteingroverInPrep,2,-1.3642373498732094,-0.2710177648229656,0.9397506629721731,0.9636458405564777,0.8270422869504962,-1.3710624813522847,1.4695091726227494,1.2848784467639112
300,SteingroverInPrep,2,-0.2507415596347256,0.8924192800101733,-0.3860084937909918,-0.46170052637504305,-0.6754087538860051,0.9622991959124321,-1.2661810393386812,-0.9540991807980411
301,SteingroverInPrep,2,-1.9209852449924512,-1.5028922828815836,3.410483636939889,3.619973160747039,2.149199202886617,-1.0312525283525686,1.7342533866835328,1.484787163510514
302,SteingroverInPrep,2,0.8627542306037579,1.713668958715919,-0.9283645124668319,-1.0447967673924834,-1.8773695865552065,0.9622991959124321,-1.2661810393386812,-1.633788817736491
303,SteingroverInPrep,2,-0.8074894547539676,-1.1607049167541896,0.03582396517910604,-0.008181227805922947,1.3679246616516365,0.9622991959124321,1.8666254937139246,1.5247689068598347
304,SteingroverInPrep,2,1.141128178163379,0.139607074529907,-0.3860084937909918,-0.46170052637504305,-0.6153107122525453,0.9622991959124321,-0.29545225444914136,-0.11448257046230903
305,SteingroverInPrep,2,-0.946676428533778,-1.092267443528711,2.38603337944108,2.5185691499363183,1.3679246616516358,-1.2124845032857505,0.6752765304403985,0.7651157832227437
306,Premkumar,3,0.30600633548451633,1.9874188516178335,-0.9886262923197031,-1.1095852386166434,-1.8773695865552065,0.9622991959124321,-1.1470461430113286,-2.829242943881176
307,Premkumar,3,1.697876073282621,-0.6132051309503596,0.457656424149204,0.44533807076319737,-0.19462442081832493,0.9622991959124321,-1.5662244819409026,-1.4738618443392086
308,Premkumar,3,0.16681936170470574,-0.6132051309503596,0.9397506629721731,0.9636458405564777,0.46645403714973555,-1.3257544876189893,-0.5469592578068857,-0.6062580136589522
309,Premkumar,3,0.16681936170470574,-1.2291423899796685,1.0000124428250443,1.0284343117806378,1.0073364118508759,-1.7561804280852962,1.6239432974915398,1.4368090714913295
310,Premkumar,3,0.44519330926432654,0.48179444065730076,0.03582396517910604,-0.008181227805922947,-0.6153107122525453,0.9622991959124321,-1.738308221080412,-1.142013374539848
311,Premkumar,3,-0.668302480974157,-1.2975798632051474,0.5179182040020752,0.5101265419873574,1.4280227032850965,-1.8014884218185918,1.9460487579321597,1.6327196139030002
312,Premkumar,3,-0.11155458585491504,1.234606646137567,-0.26548493408524954,-0.3321235839267231,-1.0359970036867658,0.9622991959124321,-0.31310186871986023,-1.6018034230570346
313,Premkumar,3,-0.946676428533778,-1.2975798632051474,1.84367736076524,1.935472908918878,1.5482187865520167,-1.9827203967517737,2.3299278683202957,2.1324914057695077
314,Premkumar,3,0.027632387924895162,-0.8185175506267959,1.3013213420893999,1.352376667901438,0.706846203683576,-2.028028390485069,0.714988162549516,0.7011449938638308
315,Premkumar,3,2.2546239684018627,-1.4344548096561047,0.2768710845905908,0.2509726570907174,0.28615991224935594,-0.2836706317531934,0.18108733086026912,0.24135494534664412
316,Premkumar,3,-1.781798271212641,-1.4344548096561047,-0.084699594526636,-0.13775817025424278,2.029003119619697,-2.005374393618421,2.4843619931890863,2.4083654348798196
317,Premkumar,3,1.4195021257229998,-0.8185175506267959,0.1563475248848484,0.12139571464239725,0.1058657873489756,0.9622991959124321,-0.11454370817427256,0.07343162327949769
318,Premkumar,3,0.30600633548451633,-0.6816426041758384,0.2166093047377196,0.18618418586655733,0.46645403714973555,-0.6461345816195572,-0.8734771218151854,-0.7222050693719818
319,Premkumar,3,-0.668302480974157,-1.5028922828815836,-0.5065320534967341,-0.5912774688233633,1.6083168281854763,-1.9827203967517737,1.8578006865785652,1.6287214395680683
320,Premkumar,3,-0.11155458585491504,-0.6816426041758384,1.84367736076524,1.935472908918878,0.6467481620501159,0.9622991959124321,1.2356517835357237,-0.4063492969123492
321,Premkumar,3,-0.2507415596347256,-0.8869550238522748,-0.8681027326139609,-0.9800082961683235,0.8871403285839563,-1.7108724343520008,0.9047215159597443,0.9610263256344146
322,Premkumar,3,0.7235672568239477,-0.750080077401317,0.1563475248848484,0.12139571464239725,0.34625795388281605,-1.099214518952512,0.4546563520564122,0.5212271487918881
323,Premkumar,3,-1.225050376093399,-1.5713297561070623,1.84367736076524,1.935472908918878,1.9088070363527767,-2.2092603654182508,3.252120213965359,2.9801043647751038
324,Premkumar,3,-0.11155458585491504,0.6186693871082585,-0.084699594526636,-0.13775817025424278,-0.49511462898562514,0.9622991959124321,-0.9043639467889436,-0.5502835729699034
325,Premkumar,3,0.7235672568239477,-1.6397672293325412,1.3013213420893999,1.352376667901438,1.127532495117796,-0.7594045659527958,2.0034100043119962,1.9165899916831763
326,Premkumar,3,0.8627542306037579,-0.9553924970777533,-0.3860084937909918,-0.46170052637504305,0.46645403714973555,-0.7140965722195004,0.18991213799562856,0.20936955066718765
327,Premkumar,3,0.5843802830441371,-0.6816426041758384,0.5179182040020752,0.5101265419873574,0.3462579538828154,0.9622991959124321,-0.9749624038718192,-0.9780882268076335
328,Premkumar,3,-0.8074894547539676,-1.1607049167541896,1.84367736076524,1.935472908918878,1.3679246616516365,-1.7788344249519439,1.0282688158547766,0.9610263256344146
329,Premkumar,3,1.0019412043835685,0.20804454775538583,-0.6270556132024764,-0.7208544112716833,-0.6153107122525453,0.9622991959124321,-1.6853593782682552,-1.6217942947316948
330,Premkumar,3,-0.946676428533778,-1.4344548096561047,-0.44627027364386296,-0.5264889975992032,1.6684148698189363,-1.597602450018762,2.444650361079969,2.0565260934057985
331,Wood,3,0.5843802830441371,-0.0657053451465295,-0.20522315423237836,-0.267335112702563,-0.19462442081832493,-0.26101663488654564,-0.26456542947538325,-0.13047526780203725
332,Wood,3,0.30600633548451633,0.8239818067846946,-0.5667938333496052,-0.6560659400475232,-0.8557028787863854,0.9622991959124321,-1.2750058464740406,-0.6982160233623895
333,Wood,3,0.7235672568239477,0.2764820209808643,-0.3257467139381207,-0.3969120551508832,-0.5552126706190855,0.9622991959124321,-1.8574431174077646,-1.3539166142912469
